injury_report,tweet,clean
0,"#Rays had Brujan taking some balls in the outfield just now, getting used to the roof",Rays Brujan taking balls outfield getting used roof
0,Stephen Jones: #Cowboys “are going to be careful” with injuries as training camp looms  https://t.co/Tp1jcZz8tG,Stephen Jones Cowboys going careful injuries training camp looms httpstcoTpjcZztG
0,Having eye surgery in the morning. See y'alls later ... I hope.,Having eye surgery morning See alls later I hope
0,Dick Bavetta …god that was awful.,Dick Bavetta awful
0,"@NickFrancona @yeongjeom Alternate facts care about your feelings, apparently.",NickFrancona yeongjeom Alternate facts care feelings apparently
0,deGrom.  Easily.,deGrom Easily
0, https://t.co/i2Fymre0hf,httpstcoiFymrehf
0,Was asked by @JoeyMurr on @Toucherandrich why Wynn got his 5th-year option picked up and not Michel when both have lengthy injury histories. Both have produced when healthy. One answer: scarcity. One spot more valuable than the other. Just harder to find starting-level tackles.,Was asked JoeyMurr Toucherandrich Wynn got thyear option picked Michel lengthy injury histories Both produced healthy One answer scarcity One spot valuable Just harder find startinglevel tackles
0,"Charlie Montoyo says that Reese McGuire has earned the chance to catch ""a lot"" and they'll see how Jansen can be worked in as well. #BlueJays",Charlie Montoyo says Reese McGuire earned chance catch lot see Jansen worked well BlueJays
0,@whale_alert @renb01,whalealert renb
0,Here’s more info on timing if you want to get a $4 beer from Greg Vaughn on Sunday:  https://t.co/JX5pCtw1T0,Here info timing want get beer Greg Vaughn Sunday httpstcoJXpCtwT
0,"WATCH: Dr. Kavita Patel joins @LesterHoltNBC to discuss students returning to school, kids’ Covid-19 risk, and what families can do to stay safe and healthy.  https://t.co/UPgUdlRqiA",WATCH Dr Kavita Patel joins LesterHoltNBC discuss students returning school kids Covid risk families stay safe healthy httpstcoUPgUdlRqiA
0,"@chelwig54 @michaelgbaron @jdlichtstein If you can get him for 15 per, do it quick. Problem-he thinks he worth 25-30 per. If that’s the case-see ya",chelwig michaelgbaron jdlichtstein If get per quick Problemhe thinks worth per If casesee ya
0,"""It's a good feeling to be wanted,"" #Marlins manager Don Mattingly said of his mutual option being picked up.",Its good feeling wanted Marlins manager Don Mattingly said mutual option picked
0,👀 #Mets #LGM,Mets LGM
0,"Junior Guerra hasn't allowed a run in his last 3 outings (5.1 IP) and Joe Maddon said they may move him into higher leverage situations.  That's another reason the #Angels have Packy Naughton up here now, to take over Guerra's long-inning role.",Junior Guerra allowed run last outings IP Joe Maddon said may move higher leverage situations Thats another reason Angels Packy Naughton take Guerras longinning role
0,"Our #Rays pregame blog is updated with lineups and transactions.  We're on the air at 11:30.  We'll also have audio from Vidal Brujan, Manuel Margot and Michael Wacha:  https://t.co/mz0uZnQUjF",Our Rays pregame blog updated lineups transactions Were air Well also audio Vidal Brujan Manuel Margot Michael Wacha httpstcomzuZnQUjF
0,@mcauz56 Mistakes are being made left and right,mcauz Mistakes made left right
0,"Blue Jays GM Ross Atkins watched Alek Manoah pitch live last week. He says the 23-year-old prospect is “exceptionally encouraging.”  Asked if Manoah’s positioning himself for an MLB promotion, Atkins: “He’s making that very much something that we’re discussing and talking about.”",Blue Jays GM Ross Atkins watched Alek Manoah pitch live last week He says yearold prospect exceptionally encouraging Asked Manoah positioning MLB promotion Atkins He making much something discussing talking
0,@PKellyMLB @TSmith363 @KMcAwsome @0Ryano2 @LouMerloni Don’t think anyone is expecting any games to get canceled. A postponement and keeping them away from the park one day for more contact tracing would be helpful for all.,PKellyMLB TSmith KMcAwsome Ryano LouMerloni Don think anyone expecting games get canceled A postponement keeping away park one day contact tracing would helpful
0,@SteveLondon1961  https://t.co/FHWwS6wf7R,SteveLondon httpstcoFHWwSwfR
0,@BigRedTweeter 👊,BigRedTweeter
0,"@AndrewEdgerley He is going to be evaluated tomorrow in MMP, then they will decide",AndrewEdgerley He going evaluated tomorrow MMP decide
0,"""I don't think he has that chip on his shoulder anymore...maybe he'll look at the top 50 players that TSN put out and take a little bit of an insult to that"" - @DougBrown97   Is Zach Collaros still ZACH COLLAROS without a chip on his shoulder? ⬇️👀  https://t.co/pzbgUUycRY",I think chip shoulder anymoremaybe look top players TSN put take little bit insult DougBrown Is Zach Collaros still ZACH COLLAROS without chip shoulder httpstcopzbgUUycRY
0,"- @KayabagaArielle (83%) is considered the likely winner in London West, however @RobFlackCPC (11%) and @ShawnaLewk (7%) have legit chances.   https://t.co/waXwejNVHz",KayabagaArielle considered likely winner London West however RobFlackCPC ShawnaLewk legit chances httpstcowaXwejNVHz
0,Astros lineup  https://t.co/0HbwsW0JPA,Astros lineup httpstcoHbwsWJPA
0,@PootPoot @UsmanPatel_ @MelanieLynneN @Lo_Blackwell @KariVanHorn @EmilyCWaldon ❤️,PootPoot UsmanPatel MelanieLynneN LoBlackwell KariVanHorn EmilyCWaldon
0,Takes 27 outs last time I checked,Takes outs last time I checked
0,Zack Short follows the Niko Goodrum solo shot with one of his own. #Tigers up 2-0 on #MNTwins in T2.  Bailey Ober is at 47 pitches. Both homers came on two-strike pitches.,Zack Short follows Niko Goodrum solo shot one Tigers MNTwins T Bailey Ober pitches Both homers came twostrike pitches
0,"King's first game was mostly fastballs. Tonight, he pulled out more of the repertoire. Some good sliders.",Kings first game mostly fastballs Tonight pulled repertoire Some good sliders
0,@_SRG24_ He doesn't have a minor league option so it behooves the Cubs to take as much time on rehab assignments as possible,SRG He minor league option behooves Cubs take much time rehab assignments possible
0,"Báez has been working out at 2B, and the Mets aren’t really thinking of using him at 3B. Jeff McNeil could see some time at 3B and in the corner OF once Lindor and Báez are both back.",Báez working B Mets really thinking using B Jeff McNeil could see time B corner OF Lindor Báez back
0,@OhioStateOnBTN +32.4,OhioStateOnBTN
0,Mercy!  https://t.co/DNUu0aaBnT,Mercy httpstcoDNUuaaBnT
0,@miahawthorn_  https://t.co/GBDB3wOzpG,miahawthorn httpstcoGBDBwOzpG
0,@mikealexbolling 💰💰💰,mikealexbolling
0,"Pinch-hitter Jorge Alfaro rips an RBI double to left off Brad Hand, and the Marlins have a 2-1 lead in the 10th. Hand up to 30 pitches after throwing 14 last night.",Pinchhitter Jorge Alfaro rips RBI double left Brad Hand Marlins lead th Hand pitches throwing last night
0,JUST IN: The Minnesota Vikings have signed QB Sean Mannion to their practice squad.  https://t.co/LD9zPacLev,JUST IN The Minnesota Vikings signed QB Sean Mannion practice squad httpstcoLDzPacLev
0,"Sneaky, sneaky.  https://t.co/uoVXYNc3dD",Sneaky sneaky httpstcouoVXYNcdD
0,@andrewtaverna @EvanMarinofsky @ConorRyan_93 I say they are done with him UNLESS someone sucks or is injured.,andrewtaverna EvanMarinofsky ConorRyan I say done UNLESS someone sucks injured
0,Corey Seager won’t be back until after All-Star break  https://t.co/e2XX7weA80,Corey Seager back AllStar break httpstcoeXXweA
0,"Quite a line for Blake Snell, who threw more balls than strikes over four innings, yet didn't allow a run. His day is over. Jorge Mateo pinch-hits.",Quite line Blake Snell threw balls strikes four innings yet allow run His day Jorge Mateo pinchhits
0,"Taijuan Walker will be in the All-Star Game, says Luis Rojas.",Taijuan Walker AllStar Game says Luis Rojas
0,"With the go-ahead run on third base, Aaron Boone is bringing in Justin Wilson.",With goahead run third base Aaron Boone bringing Justin Wilson
0,@KevinFrandsen @rhyshoskins 2 TANKZ,KevinFrandsen rhyshoskins TANKZ
0,Queens 🙌🏽  https://t.co/QnnqG36Eph,Queens httpstcoQnnqGEph
0,If an unvaccinated player tests positive the game should be forfeited. It's their right to get the vaccine but they're putting others at risk and the team should be penalized for employing them,If unvaccinated player tests positive game forfeited Its right get vaccine putting others risk team penalized employing
0,@NjTank99 Sounds like Todd Frazier.,NjTank Sounds like Todd Frazier
0,"@DanClarkSports Kayne is overrated, period.",DanClarkSports Kayne overrated period
0,#Marlins lineup   The odd man out in the outfield/1B rotation tonight is Adam Duvall. Garrett Cooper to RF and Jesús Aguilar back at first base.  https://t.co/yBVNxK0PSb,Marlins lineup The odd man outfieldB rotation tonight Adam Duvall Garrett Cooper RF Jesús Aguilar back first base httpstcoyBVNxKPSb
0,"Myles Straw in center. Bradley Zimmer, Oscar Mercado, Harold Ramirez and an options issue. Josh Naylor’s uncertain timeline. A Rule 5 roster crunch.   On the outlook of the outfield moving forward —   https://t.co/hph1y3uo6A",Myles Straw center Bradley Zimmer Oscar Mercado Harold Ramirez options issue Josh Naylor uncertain timeline A Rule roster crunch On outlook outfield moving forward httpstcohphyuoA
0,Luis Rojas explains the decision to pull Taijuan Walker for Aaron Loup  https://t.co/Dny6gmtdcN  https://t.co/oJ59rZv91E,Luis Rojas explains decision pull Taijuan Walker Aaron Loup httpstcoDnygmtdcN httpstcooJrZvE
0,Jarren Duran is batting seventh and starting in center for the Red Sox tonight.,Jarren Duran batting seventh starting center Red Sox tonight
0,#21 for #28  https://t.co/H0G5Iv1MaL,httpstcoHGIvMaL
0,@ineedtotalktou @Mitch_Tischler @TerpsFootball @DarrellH8 Henderson is very talented if he can stay healthy..,ineedtotalktou MitchTischler TerpsFootball DarrellH Henderson talented stay healthy
0,Probably prioritizing having another arm available as opposed to having an extra bench player.,Probably prioritizing another arm available opposed extra bench player
0,The Baltimore Orioles are promoting JD Mundy to the Bowie Baysox. Congratulations JD!  https://t.co/dAR0AX7YZ2,The Baltimore Orioles promoting JD Mundy Bowie Baysox Congratulations JD httpstcodARAXYZ
0,Smooth stroke from the second rounder. #WhiteSox,Smooth stroke second rounder WhiteSox
0,@mctighemax24 WOOOOOAH,mctighemax WOOOOOAH
0,@SethCPayne 😂,SethCPayne
0,@KingDR610 21 and 22,KingDR
0,"It also continues to be Edwin Díaz (Yennsy too), Tomás Nido, and Francisco Lindor (not Frankie).",It also continues Edwin Díaz Yennsy Tomás Nido Francisco Lindor Frankie
0,@MeaglePant Shouldn’t *,MeaglePant Shouldn
0,Danny Santana to LF in the bottom of the 3rd. Marwin Gonzalez is out of the game. #RedSox,Danny Santana LF bottom rd Marwin Gonzalez game RedSox
0,Blake Snell is fully vaccinated and has tested negative for Covid.,Blake Snell fully vaccinated tested negative Covid
0,"""He's going to keep grinding. He's in a good groove right now.""  Red Sox manager Alex Cora had plenty of praise for J.D. Martinez after last night's win:  https://t.co/3A213awyrC",Hes going keep grinding Hes good groove right Red Sox manager Alex Cora plenty praise JD Martinez last nights win httpstcoAawyrC
0,NYCFC Head Coach Ronny Deila discusses rotating his squad amidst the absences of James Sands and Sean Johnson.  #NYCFConYES  https://t.co/WRfta3eMNs,NYCFC Head Coach Ronny Deila discusses rotating squad amidst absences James Sands Sean Johnson NYCFConYES httpstcoWRftaeMNs
0, https://t.co/IUflLETCxu,httpstcoIUflLETCxu
0,Jamo continues to pump ⛽️  https://t.co/PFl9XFiSai,Jamo continues pump httpstcoPFlXFiSai
0,Updated #Buffalo #TrafficAlert - earlier injury accident in town on Broadway at Jefferson Ave has been cleared - traffic back to normal there,Updated Buffalo TrafficAlert earlier injury accident town Broadway Jefferson Ave cleared traffic back normal
0,José Martínez went 0-for-2 with a strikeout and played three innings in right field for the St. Lucie Mets in his first rehab game.   Photos by @ed880  https://t.co/6sR98ERby1,José Martínez went strikeout played three innings right field St Lucie Mets first rehab game Photos ed httpstcosRERby
0,Really cool note here from Ken about Mookie Betts and the role he’s had in Willy Adames’ success this season.,Really cool note Ken Mookie Betts role Willy Adames success season
0,"Zack Scott calls possible Noah Syndergaard, Carlos Carrasco returns ‘a bonus’ in rotation plans as trade deadline looms, the GM’s view on ‘untouchable’ prospects and more:   https://t.co/9Zm9N5QHmz",Zack Scott calls possible Noah Syndergaard Carlos Carrasco returns bonus rotation plans trade deadline looms GM view untouchable prospects httpstcoZmNQHmz
0,De Jong vs. deGrom would have been simply too Dutch,De Jong vs deGrom would simply Dutch
0,"Servais also said Shed Long is not injured but was instead replaced due to not ""busting it out of the box'' on his grounder in the fifth. Said ""we have a standard --- we are going to run hard all the time.'' Felt Long didn't do that there.",Servais also said Shed Long injured instead replaced due busting box grounder fifth Said standard going run hard time Felt Long
0,"In pre-game introductions, warm response for the return of Alex Cora.",In pregame introductions warm response return Alex Cora
0,"@SportsBoyTony skipping the All-Star game is different than load management missing actual games. The point is good though. Load management is coming to every sport, especially the NFL.",SportsBoyTony skipping AllStar game different load management missing actual games The point good though Load management coming every sport especially NFL
0,Ontario's CMOH says the province doesn't know how many education workers are unvaccinated. He says the province is relying on surveys to determine vaccine coverage.   #onpoli,Ontarios CMOH says province know many education workers unvaccinated He says province relying surveys determine vaccine coverage onpoli
0,Emily Sisson is preparing for the most important race of her career in a comfortable spot -- at @PCAthletics. She was on campus for a Saturday workout and feels primed for the upcoming Olympics. @TeamUSA @usatf @newbalance   https://t.co/TWtPVhrEgx,Emily Sisson preparing important race career comfortable spot PCAthletics She campus Saturday workout feels primed upcoming Olympics TeamUSA usatf newbalance httpstcoTWtPVhrEgx
0,"@Thekid85718543 He didn't say if it was serious or not. He said ""could.""",Thekid He say serious He said could
0,#Yankees Lineup 08/31/21  1. DJ LeMahieu 2B 2. Anthony Rizzo 1B 3. Aaron Judge RF 4. Giancarlo Stanton DH 5. Joey Gallo LF 6. Gio Urshela SS 7. Rougned Odor 3B 8. Gary Sanchez C 9. Brett Gardner CF  Starting Pitcher : Jameson Taillon,Yankees Lineup DJ LeMahieu B Anthony Rizzo B Aaron Judge RF Giancarlo Stanton DH Joey Gallo LF Gio Urshela SS Rougned Odor B Gary Sanchez C Brett Gardner CF Starting Pitcher Jameson Taillon
0,Gio for 👌  https://t.co/lXwTy7UgKk,Gio httpstcolXwTyUgKk
0,@ryan_cast_  https://t.co/helONDOPrd,ryancast httpstcohelONDOPrd
0,Boston Red Sox manager Alex Cora explained why he won’t ask umps to go out and check pitchers for banned substances.   https://t.co/dJD6sPZqf1,Boston Red Sox manager Alex Cora explained ask umps go check pitchers banned substances httpstcodJDsPZqf
0,#Astros Lineup 08/07/21  1. Jose Altuve 2B 2. Michael Brantley LF 3. Carlos Correa SS 4. Yordan Alvarez DH 5. Kyle Tucker RF 6. Aledmys Diaz 3B 7. Chas McCormick CF 8. Jason Castro C 9. Taylor Jones 1B  Starting Pitcher : Luis Garcia,Astros Lineup Jose Altuve B Michael Brantley LF Carlos Correa SS Yordan Alvarez DH Kyle Tucker RF Aledmys Diaz B Chas McCormick CF Jason Castro C Taylor Jones B Starting Pitcher Luis Garcia
0,"Well, that explains Tom Goodwin's absence.   Will Venable positive. Jarren Duran and J.D. Martinez isolating at the team hotel awaiting their results. #RedSox",Well explains Tom Goodwins absence Will Venable positive Jarren Duran JD Martinez isolating team hotel awaiting results RedSox
0, https://t.co/mp8ETgL9CC,httpstcompETgLCC
0,"BIG smile on Kahlil Watson's face as he talks about teaming up with Jazz Chisholm Jr. in the Marlins organization  ""I'd love to play right across from each other""   https://t.co/xPS9gNEAHt  https://t.co/Vig9Xb6EIM",BIG smile Kahlil Watsons face talks teaming Jazz Chisholm Jr Marlins organization I would love play right across httpstcoxPSgNEAHt httpstcoVigXbEIM
0,"Two batters in, the Pirates are down 2-0. Lindor with a 418-foot shot to right center. Right. Down. The. Pipe.",Two batters Pirates Lindor foot shot right center Right Down The Pipe
0,He will remain with the organization in Triple-A OKC.,He remain organization TripleA OKC
0,Blake Snell has been scratched from his scheduled start tonight.  Craig Stammen will start.,Blake Snell scratched scheduled start tonight Craig Stammen start
0,@MLB I don't see the Yankees listed anywhere. Surely I must just be missing them because I was told all offseason that they were a serious contender?,MLB I see Yankees listed anywhere Surely I must missing I told offseason serious contender
0,Watching this team is taking years off of my life. This is not healthy,Watching team taking years life This healthy
0,"Maybe the Astros will fix the bullpen in the off-season. It’s only been an issue going into the off-season last year, and the year before that, and the one before that. Hell even in 2017 it was an issue. Starters closing out games on short rest isn’t a sign of a strong pen.",Maybe Astros fix bullpen offseason It issue going offseason last year year one Hell even issue Starters closing games short rest sign strong pen
0,"The Cubs broke out of their offensive slump with an RBI single by Javier Baez in the first inning, but Eugenio Suárez prevented any further damage with a good double play on a ground ball up the line.  Earlier this week, David Bell discussed Suárez’s defense.  https://t.co/zXXYNzbCbf",The Cubs broke offensive slump RBI single Javier Baez first inning Eugenio Suárez prevented damage good double play ground ball line Earlier week David Bell discussed Suárez defense httpstcozXXYNzbCbf
0,Tough road. Good luck getting healthy,Tough road Good luck getting healthy
0,"Per @jeffzrebiec , QB Trace McSorley indeed returning to #Ravens via practice squad",Per jeffzrebiec QB Trace McSorley indeed returning Ravens via practice squad
0, https://t.co/Cg4Op2Jltz,httpstcoCgOpJltz
0,"The Diamondbacks have recalled outfielder Stuard Fairchild from Triple-A and activated right-hander Jordan Weems, who was claimed off waivers yesterday. Outfielder Nick Heath was optioned.",The Diamondbacks recalled outfielder Stuard Fairchild TripleA activated righthander Jordan Weems claimed waivers yesterday Outfielder Nick Heath optioned
0,".@Mets prospect, Jose Butto with a solid outing for the @BKCyclones. 💪  https://t.co/BkZBHorSxu",Mets prospect Jose Butto solid outing BKCyclones httpstcoBkZBHorSxu
0,Patrick Wisdom is in left field for the Cubs tonight. It’s his first career appearance there. His only outfield experience at all in the big leagues? He got seven innings in right in a start earlier this season.  Bryant’s in right tonight. Outfield D optional?,Patrick Wisdom left field Cubs tonight It first career appearance His outfield experience big leagues He got seven innings right start earlier season Bryant right tonight Outfield D optional
0,Joe Jiménez is coming in,Joe Jiménez coming
0,"COVID CASES IN SCHOOLS: Districts across the metro are reporting new cases, some before the first day of class even began. Here is a running list of active cases.  https://t.co/op1LxpslH8",COVID CASES IN SCHOOLS Districts across metro reporting new cases first day class even began Here running list active cases httpstcoopLxpslH
0,Alex Reyes will join Nolan Arenado as @Cardinals representatives at the 2021 All-Star Game. First career ASG selection for Reyes. What a remarkable story.,Alex Reyes join Nolan Arenado Cardinals representatives AllStar Game First career ASG selection Reyes What remarkable story
0,@Bigtomk22YT 🙌🙌🙌🙌👊,BigtomkYT
0,@SDJ5K  https://t.co/Rhu98SVljc,SDJK httpstcoRhuSVljc
0,"#Braves have a three-game winning streak and will try again to get over .500 in the final game before the All-Star break. But they’ll have to do it without their dynamic leadoff hitter, Ronald Acuña Jr.",Braves threegame winning streak try get final game AllStar break But without dynamic leadoff hitter Ronald Acuña Jr
0,#Badgers practice closed to media today and Sunday. But here is a story on several players explaining why they decided to get vaccinated against COVID. Lots of frank comments.  https://t.co/zv8HgfcnHt,Badgers practice closed media today Sunday But story several players explaining decided get vaccinated COVID Lots frank comments httpstcozvHgfcnHt
0,@Paulie_Bruz Dominating,PaulieBruz Dominating
0,"The Brewers probably would like Josh Hader to get a true break over the All-Star break after pitching on four of the final five days of the first half. It will be up to Hader whether he pitches on Tuesday night in Denver, Craig Counsell said.",The Brewers probably would like Josh Hader get true break AllStar break pitching four final five days first half It Hader whether pitches Tuesday night Denver Craig Counsell said
0,Marte signing for a long time before the game today.  https://t.co/vlbVAvhJGg,Marte signing long time game today httpstcovlbVAvhJGg
0,@jdubs9311 @DanWetzel @brettrader  https://t.co/rhxAtyUa1Q,jdubs DanWetzel brettrader httpstcorhxAtyUaQ
0,Here's four-time All-Star Jacob deGrom discussing his decision not to participate in this year's game:  https://t.co/VyNtPYzoZi,Heres fourtime AllStar Jacob deGrom discussing decision participate years game httpstcoVyNtPYzoZi
