,tweet,clean,injury_report,model_predictions
683,Was asked by @JoeyMurr on @Toucherandrich why Wynn got his 5th-year option picked up and not Michel when both have lengthy injury histories. Both have produced when healthy. One answer: scarcity. One spot more valuable than the other. Just harder to find starting-level tackles.,Was asked JoeyMurr Toucherandrich Wynn got thyear option picked Michel lengthy injury histories Both produced healthy One answer scarcity One spot valuable Just harder find startinglevel tackles,0,1
714,"Final: Dodgers 5, Nats 1. The Nationals were nowhere close to 100 percent healthy for either series, but they wound up going 0-7 this season vs. the 2020 champs nonetheless.",Final Dodgers Nats The Nationals nowhere close percent healthy either series wound going season vs champs nonetheless,0,1
756,"Domino's Pizza Lyon 3 Ouest; 256 Rue Paul Bert, 69003 Lyon, France  https://t.co/mExJglFUZN  https://t.co/t6pkpoXidI",Dominos Pizza Lyon Ouest Rue Paul Bert Lyon France httpstcomExJglFUZN httpstcotpkpoXidI,0,1
759,WHAT A BLOCK BY GIANNIS OH MY 🤯  https://t.co/Cm8QStoUaC,WHAT A BLOCK BY GIANNIS OH MY httpstcoCmQStoUaC,0,1
761,Brooks Kriske Threw FOUR Wild Pitches in the 10th Inning Last Night To Hand The Yankees Another Soul Crushing Loss in Fenway  https://t.co/njEKMzQhk5  https://t.co/X8r7RskBA4,Brooks Kriske Threw FOUR Wild Pitches th Inning Last Night To Hand The Yankees Another Soul Crushing Loss Fenway httpstconjEKMzQhk httpstcoXrRskBA,0,1
782,"@jakelarsen Yes, I thought he looked fine today.",jakelarsen Yes I thought looked fine today,0,1
825,"AP source: US adding McGee, Johnson after Love withdrawal  https://t.co/zNIXjpOfpF",AP source US adding McGee Johnson Love withdrawal httpstcozNIXjpOfpF,0,1
858,"Miguel Cabrera will close out June batting .329 (28-for-85) for the month with five doubles, three HR and 14 RBIs. First .300 month for him since June 2019.",Miguel Cabrera close June batting month five doubles three HR RBIs First month since June,0,1
867,@PKellyMLB @TSmith363 @KMcAwsome @0Ryano2 @LouMerloni Don’t think anyone is expecting any games to get canceled. A postponement and keeping them away from the park one day for more contact tracing would be helpful for all.,PKellyMLB TSmith KMcAwsome Ryano LouMerloni Don think anyone expecting games get canceled A postponement keeping away park one day contact tracing would helpful,0,1
877,"Hit the road with us this September when we head to Milwaukee! Amazin’ Getaways takes you on the road with the team. Package includes a four-night hotel stay, game tickets and much more!  More info 👉  https://t.co/R1eufAk2v0  https://t.co/kPLg6piDSF",Hit road us September head Milwaukee Amazin Getaways takes road team Package includes fournight hotel stay game tickets much More info httpstcoReufAkv httpstcokPLgpiDSF,0,1
903,"""I don't think he has that chip on his shoulder anymore...maybe he'll look at the top 50 players that TSN put out and take a little bit of an insult to that"" - @DougBrown97   Is Zach Collaros still ZACH COLLAROS without a chip on his shoulder? ⬇️👀  https://t.co/pzbgUUycRY",I think chip shoulder anymoremaybe look top players TSN put take little bit insult DougBrown Is Zach Collaros still ZACH COLLAROS without chip shoulder httpstcopzbgUUycRY,0,1
919,8 (248): @Athletics select Arizona State (AZ) SS Drew Swift.  https://t.co/LfEVQ2F0tI #MLBDraft,Athletics select Arizona State AZ SS Drew Swift httpstcoLfEVQFtI MLBDraft,0,1
921,Red Sox reportedly attending workout for Cole Hamels  https://t.co/x7j1LY5tv8  https://t.co/5w7efCHxe9,Red Sox reportedly attending workout Cole Hamels httpstcoxjLYtv httpstcowefCHxe,0,1
936,@stepan_v No,stepanv No,0,1
945,@_SRG24_ He doesn't have a minor league option so it behooves the Cubs to take as much time on rehab assignments as possible,SRG He minor league option behooves Cubs take much time rehab assignments possible,0,1
976,"Pinch-hitter Jorge Alfaro rips an RBI double to left off Brad Hand, and the Marlins have a 2-1 lead in the 10th. Hand up to 30 pitches after throwing 14 last night.",Pinchhitter Jorge Alfaro rips RBI double left Brad Hand Marlins lead th Hand pitches throwing last night,0,1
988,@andrewtaverna @EvanMarinofsky @ConorRyan_93 I say they are done with him UNLESS someone sucks or is injured.,andrewtaverna EvanMarinofsky ConorRyan I say done UNLESS someone sucks injured,0,1
1011,"Quite a line for Blake Snell, who threw more balls than strikes over four innings, yet didn't allow a run. His day is over. Jorge Mateo pinch-hits.",Quite line Blake Snell threw balls strikes four innings yet allow run His day Jorge Mateo pinchhits,0,1
1061,"Myles Straw in center. Bradley Zimmer, Oscar Mercado, Harold Ramirez and an options issue. Josh Naylor’s uncertain timeline. A Rule 5 roster crunch.   On the outlook of the outfield moving forward —   https://t.co/hph1y3uo6A",Myles Straw center Bradley Zimmer Oscar Mercado Harold Ramirez options issue Josh Naylor uncertain timeline A Rule roster crunch On outlook outfield moving forward httpstcohphyuoA,0,1
1063,"Come Inn; Kololi Rd, Serrekunda, The Gambia  https://t.co/l7tfIWJPGX  https://t.co/KIm2kHzAMY",Come Inn Kololi Rd Serrekunda The Gambia httpstcoltfIWJPGX httpstcoKImkHzAMY,0,1
1122,Luis Rojas explains the decision to pull Taijuan Walker for Aaron Loup  https://t.co/Dny6gmtdcN  https://t.co/oJ59rZv91E,Luis Rojas explains decision pull Taijuan Walker Aaron Loup httpstcoDnygmtdcN httpstcooJrZvE,0,1
1135,"@akfort44 @Chrishall05 @NewbergReport Dillon Tate, traded for Carlos Beltran.  Lewis Brinson and Luis Ortiz were traded for Jonathan Lucroy.  And the 2016 and 2018 first rounders just pitched in the Futures Game, and will likely both be pitching this weekend for Frisco.",akfort Chrishall NewbergReport Dillon Tate traded Carlos Beltran Lewis Brinson Luis Ortiz traded Jonathan Lucroy And first rounders pitched Futures Game likely pitching weekend Frisco,0,1
1180,@WalkingTank77 @MySmithsGrocery They can't be near players due to COVID rules so they can't go  over the mound,WalkingTank MySmithsGrocery They near players due COVID rules go mound,0,1
1185,"He’s getting about 6.2 feet worth of extension this season, which is pretty typical across the league, but much improved from where he was before coming back from TJ—oh wait, you’re talking about the other thing",He getting feet worth extension season pretty typical across league much improved coming back wait talking thing,0,1
1199,SAMIL POLANCO TO THE MOON!  KAN 1 | DE 0 #HaveABlast 📸Krista Jasso  https://t.co/hBA2bkJV9E,SAMIL POLANCO TO THE MOON KAN DE HaveABlast Jasso httpstcohBAbkJVE,0,1
1247,"Pasadena police have turned over the Trevor Bauer case to the L.A. District Attorney’s Office,  https://t.co/db2KmlnzKc",Pasadena police turned Trevor Bauer case LA District Attorney Office httpstcodbKmlnzKc,0,1
1271,"CASES SURGE: Cobb County Schools released its weekly COVID-19 report, which shows more than 1,000 active cases over the last seven days.  https://t.co/cvOxDhSaDe",CASES SURGE Cobb County Schools released weekly COVID report shows active cases last seven days httpstcocvOxDhSaDe,0,1
1307,"It also continues to be Edwin Díaz (Yennsy too), Tomás Nido, and Francisco Lindor (not Frankie).",It also continues Edwin Díaz Yennsy Tomás Nido Francisco Lindor Frankie,0,1
1329,Blake Snell is fully vaccinated and has tested negative for Covid.,Blake Snell fully vaccinated tested negative Covid,0,1
1333,The #SFGiants against RHP Paolo Espino   LaMonte Wade Jr. – 1B Alex Dickerson – LF Mike Yastrzemski – RF Wilmer Flores – 3B Brandon Crawford – SS Donovan Solano – 2B Steven Duggar – CF Curt Casali – C Logan Webb – RHP,The SFGiants RHP Paolo Espino LaMonte Wade Jr B Alex Dickerson LF Mike Yastrzemski RF Wilmer Flores B Brandon Crawford SS Donovan Solano B Steven Duggar CF Curt Casali C Logan Webb RHP,0,1
1337,"Effectively Wild Episode 1721: Forget it, Jake. It’s Chi-Town.  https://t.co/ULe5PzsQl0",Effectively Wild Episode Forget Jake It ChiTown httpstcoULePzsQl,0,1
1342,NYCFC Head Coach Ronny Deila discusses rotating his squad amidst the absences of James Sands and Sean Johnson.  #NYCFConYES  https://t.co/WRfta3eMNs,NYCFC Head Coach Ronny Deila discusses rotating squad amidst absences James Sands Sean Johnson NYCFConYES httpstcoWRftaeMNs,0,1
1386,Updated #Buffalo #TrafficAlert - earlier injury accident in town on Broadway at Jefferson Ave has been cleared - traffic back to normal there,Updated Buffalo TrafficAlert earlier injury accident town Broadway Jefferson Ave cleared traffic back normal,0,1
1388,"'There’s no damage to his teeth. He's probably going to have a couple stitches. You have a baseball coming up in your face &amp; it’s a scary thing'  UPDATED: Miami, behind dominant freshman, wins regional opener. Bloodied Kayfus stays in game.   https://t.co/XjBDIiYT5A @CanesBaseball  https://t.co/J4bWRTzGT2",There damage teeth Hes probably going couple stitches You baseball coming face amp scary thing UPDATED Miami behind dominant freshman wins regional opener Bloodied Kayfus stays game httpstcoXjBDIiYTA CanesBaseball httpstcoJbWRTzGT,0,1
1396,José Martínez went 0-for-2 with a strikeout and played three innings in right field for the St. Lucie Mets in his first rehab game.   Photos by @ed880  https://t.co/6sR98ERby1,José Martínez went strikeout played three innings right field St Lucie Mets first rehab game Photos ed httpstcosRERby,0,1
1424,WATCH | Tokyo 2020 Paralympic Games: Women's Wheelchair Basketball - Quarterfinals - Session 1 - Day 7  https://t.co/WFmJkKvqmp,WATCH Tokyo Paralympic Games Womens Wheelchair Basketball Quarterfinals Session Day httpstcoWFmJkKvqmp,0,1
1478,The Steelers have no major injuries at all right now and I like what I saw from the starters on offense let’s just play the backups the rest of the preseason 😂,The Steelers major injuries right I like I saw starters offense let play backups rest preseason,0,1
1490,"Servais also said Shed Long is not injured but was instead replaced due to not ""busting it out of the box'' on his grounder in the fifth. Said ""we have a standard --- we are going to run hard all the time.'' Felt Long didn't do that there.",Servais also said Shed Long injured instead replaced due busting box grounder fifth Said standard going run hard time Felt Long,0,1
1531,Things that happened today:  ✅ Spent the day walking around Boston  ❌ Spent $200 on Sox tickets with the fam ❌ Spent an hour in the EMT station due to severe heat illness ❌ Saw two innings of the game before leaving due to extreme lightning 100’ away   https://t.co/cLodlJlA4f,Things happened today Spent day walking around Boston Spent Sox tickets fam Spent hour EMT station due severe heat illness Saw two innings game leaving due extreme lightning away httpstcocLodlJlAf,0,1
1547,"Level at 1 in the 8th at DSP.   Layne Henderson pitching in with 3 innings of shutout relief.   Lone marker by David Hensley, who cracked a 2-out RBI single in the 4th.  https://t.co/RiZEGx4ISh",Level th DSP Layne Henderson pitching innings shutout relief Lone marker David Hensley cracked RBI single th httpstcoRiZEGxISh,0,1
1562,Walsh Jesuit's Joey Canzoni commits to play baseball at UC  https://t.co/smXflqpXS9,Walsh Jesuit Joey Canzoni commits play baseball UC httpstcosmXflqpXS,0,1
1577,Correction ... Heaney walked leadoff man Kike Hernandez in first inning and then induced DP grounder from Alex Verdugo. So has faced minimum nine batters and not allowed a hit.,Correction Heaney walked leadoff man Kike Hernandez first inning induced DP grounder Alex Verdugo So faced minimum nine batters allowed hit,0,1
1590,#Yankees Lineup 08/31/21  1. DJ LeMahieu 2B 2. Anthony Rizzo 1B 3. Aaron Judge RF 4. Giancarlo Stanton DH 5. Joey Gallo LF 6. Gio Urshela SS 7. Rougned Odor 3B 8. Gary Sanchez C 9. Brett Gardner CF  Starting Pitcher : Jameson Taillon,Yankees Lineup DJ LeMahieu B Anthony Rizzo B Aaron Judge RF Giancarlo Stanton DH Joey Gallo LF Gio Urshela SS Rougned Odor B Gary Sanchez C Brett Gardner CF Starting Pitcher Jameson Taillon,0,1
1603,"Logging off until the photo of McGregor's ankle is no longer making the rounds. It's 16-1, so, yeah.",Logging photo McGregors ankle longer making rounds Its yeah,0,1
1620,"FINAL/7: Brewers 5, Mets 0  WP: Jake Cousins LP: Robert Stock  📰 Offensive troubles continued as the Mets split their fourth consecutive doubleheader.  📊 Record: 45-38 📉 Streak: L1 🏃‍♂️ Pace: 88-74  Next: July 8 vs. PIT, 7:10 p.m.",FINAL Brewers Mets WP Jake Cousins LP Robert Stock Offensive troubles continued Mets split fourth consecutive doubleheader Record Streak L Pace Next July vs PIT pm,0,1
1624,#Astros Lineup 08/07/21  1. Jose Altuve 2B 2. Michael Brantley LF 3. Carlos Correa SS 4. Yordan Alvarez DH 5. Kyle Tucker RF 6. Aledmys Diaz 3B 7. Chas McCormick CF 8. Jason Castro C 9. Taylor Jones 1B  Starting Pitcher : Luis Garcia,Astros Lineup Jose Altuve B Michael Brantley LF Carlos Correa SS Yordan Alvarez DH Kyle Tucker RF Aledmys Diaz B Chas McCormick CF Jason Castro C Taylor Jones B Starting Pitcher Luis Garcia,0,1
1626,Good luck hitting Triston McKenzie these days 😤  #OurCLE | @T_eazy24  https://t.co/TOAvgftP9K,Good luck hitting Triston McKenzie days OurCLE Teazy httpstcoTOAvgftPK,0,1
1630,"Since losing seven in row, Springfield has righted its ship. The Double-A #stlcards farm club have taken four straight - their longest winning streak of the year. Since his return from Memphis, OF Justin Toerner has swung a hot bat. ($)  https://t.co/iCribuMcA1  https://t.co/JGk7OkWJv8",Since losing seven row Springfield righted ship The DoubleA stlcards farm club taken four straight longest winning streak year Since return Memphis OF Justin Toerner swung hot bat httpstcoiCribuMcA httpstcoJGkOkWJv,0,1
1638,"Well, that explains Tom Goodwin's absence.   Will Venable positive. Jarren Duran and J.D. Martinez isolating at the team hotel awaiting their results. #RedSox",Well explains Tom Goodwins absence Will Venable positive Jarren Duran JD Martinez isolating team hotel awaiting results RedSox,0,1
1669,The Expert League FAAB Review: Week 19 by @MikeGianella   https://t.co/p8mzR2zIDR  https://t.co/eArDCFJc8E,The Expert League FAAB Review Week MikeGianella httpstcopmzRzIDR httpstcoeArDCFJcE,0,1
1679,Blake Snell has been scratched from his scheduled start tonight.  Craig Stammen will start.,Blake Snell scratched scheduled start tonight Craig Stammen start,0,1
1703,@apb17762 The timing likely was impacted by the late roster move.,apb The timing likely impacted late roster move,0,1
1711,"Maybe the Astros will fix the bullpen in the off-season. It’s only been an issue going into the off-season last year, and the year before that, and the one before that. Hell even in 2017 it was an issue. Starters closing out games on short rest isn’t a sign of a strong pen.",Maybe Astros fix bullpen offseason It issue going offseason last year year one Hell even issue Starters closing games short rest sign strong pen,0,1
1717,"OF Madison Santos is a name every Yankees fan should remember. He has five above average tools and is tearing up the FCL so far, hitting .353 with seven stolen bases and a homer. 2018 IFA signing from the Dominican Republic.  https://t.co/yCaxKd03AQ",OF Madison Santos name every Yankees fan remember He five average tools tearing FCL far hitting seven stolen bases homer IFA signing Dominican Republic httpstcoyCaxKdAQ,0,1
1727,Tough road. Good luck getting healthy,Tough road Good luck getting healthy,0,1
1735,Digital Content Producer - PGA of America Corporate (Frisco · TX)  https://t.co/w6U4Bk6Ghe,Digital Content Producer PGA America Corporate Frisco TX httpstcowUBkGhe,0,1
1738,"Per @jeffzrebiec , QB Trace McSorley indeed returning to #Ravens via practice squad",Per jeffzrebiec QB Trace McSorley indeed returning Ravens via practice squad,0,1
1742,"The Diamondbacks have recalled outfielder Stuard Fairchild from Triple-A and activated right-hander Jordan Weems, who was claimed off waivers yesterday. Outfielder Nick Heath was optioned.",The Diamondbacks recalled outfielder Stuard Fairchild TripleA activated righthander Jordan Weems claimed waivers yesterday Outfielder Nick Heath optioned,0,1
1767,"CAPTAINS WIN!  Final: @LCCaptains 5, @wmwhitecaps 3  W: Draper (1-2) L: Wolf (3-4) Ramirez (7)",CAPTAINS WIN Final LCCaptains wmwhitecaps W Draper L Wolf Ramirez,0,1
1784,Or maybe he dropped a hand weight on his toe!,Or maybe dropped hand weight toe,0,1
1808,"COVID CASES IN SCHOOLS: Districts across the metro are reporting new cases, some before the first day of class even began. Here is a running list of active cases.  https://t.co/op1LxpslH8",COVID CASES IN SCHOOLS Districts across metro reporting new cases first day class even began Here running list active cases httpstcoopLxpslH,0,1
1845,Favorable results for Marco Gonzales thus far. #Mariners  https://t.co/iqbWwCGfTM,Favorable results Marco Gonzales thus far Mariners httpstcoiqbWwCGfTM,0,1
1854,How to Turn Win-Win-Win into No-Win in a Few Short Hours  https://t.co/xuC0LIO6Ol,How Turn WinWinWin NoWin Few Short Hours httpstcoxuCLIOOl,0,1
1897,VIDEO: Jaylon Johnson Looks More Than Ready For His CB1 Ascension  #Bears  https://t.co/Md08H24nJc  https://t.co/anYXbHTWM2,VIDEO Jaylon Johnson Looks More Than Ready For His CB Ascension Bears httpstcoMdHnJc httpstcoanYXbHTWM,0,1
1936,@RC_cog @user188276 Exercise and eating healthy prevents an infection from a virus?  Where do you guys come up with this stuff?,RCcog user Exercise eating healthy prevents infection virus Where guys come stuff,0,1
1938,Jack Flaherty is getting rocked. He just gave up back-to-back homers.  He's throwing fastballs under 90 mph. And out comes a trainer.,Jack Flaherty getting rocked He gave backtoback homers Hes throwing fastballs mph And comes trainer,0,1
1972,Dylan Moore takes over for Shed Long at second base after Long appeared to tweak something in his leg running to first in the top of the inning.,Dylan Moore takes Shed Long second base Long appeared tweak something leg running first top inning,0,1
1994,@JeffRWLawyer I def didn't see the double-digit division lead coming but when the injury happened they were up 2.5 on Cleveland and 5.5 on Minnesota. They probably still had the best odds to win the division (albeit not by much).,JeffRWLawyer I def see doubledigit division lead coming injury happened Cleveland Minnesota They probably still best odds win division albeit much,0,1
2016,Two drat feature to check out here:   @jakemkaplan writes about Orioles new first rounder Colton Cowser:  https://t.co/yw6WGTv0oJ  And York County. Pa. resident -- just north of Baltimore -- Red Land HS CF Benny Montgomery goes to the @Rockies at No. 8:  https://t.co/MAUxlZKwuD,Two drat feature check jakemkaplan writes Orioles new first rounder Colton Cowser httpstcoywWGTvoJ And York County Pa resident north Baltimore Red Land HS CF Benny Montgomery goes Rockies No httpstcoMAUxlZKwuD,0,1
2033,"Taijuan Walker got off to a rocky start against Miami last week. But what was encouraging was the rebound, and that rebound centered around the re-establishment of his fastball. Lets see if he adopts the same approach today. #Mets",Taijuan Walker got rocky start Miami last week But encouraging rebound rebound centered around reestablishment fastball Lets see adopts approach today Mets,0,1
2044,#Brewers bounce back after blowing two late leads in opener to blank Mets 5-0 in nightcap of doubleheader. It avoids three-game sweep in New York and prevents four-game losing streak before returning home for big series vs. Cincy.,Brewers bounce back blowing two late leads opener blank Mets nightcap doubleheader It avoids threegame sweep New York prevents fourgame losing streak returning home big series vs Cincy,0,1
2088,Today we bounced back.   #DetroitRoots  https://t.co/lfjSOK6HE7,Today bounced back DetroitRoots httpstcolfjSOKHE,0,1
2106,#Braves win. Phillies lose. They’re one game back of first place.  https://t.co/guXL5MXv8i,Braves win Phillies lose They one game back first place httpstcoguXLMXvi,0,1
2111,Chase Claypool Hoping For ‘More Diverse Route Tree’ In Matt Canada’s Offense So DBs ‘Can’t Be Cheating So Much’  https://t.co/am3XzVLcRh,Chase Claypool Hoping For More Diverse Route Tree In Matt Canada Offense So DBs Can Be Cheating So Much httpstcoamXzVLcRh,0,1
2121,"Troy Polamalu Describes His ‘Humbling, Humiliating’ Rookie Season -  #HereWeGo #Steelers #NFL  https://t.co/tIwd2ofl1z",Troy Polamalu Describes His Humbling Humiliating Rookie Season HereWeGo Steelers NFL httpstcotIwdoflz,0,1
2143,"When asked about Andrew Stevenson earlier, Dave Martinez said he wants to keep getting him four ABs a game in Rochester. Interested to see what the Nationals will do post-All Star break. I'd think there's a solid chance Stevenson comes back and Yadiel Hernandez is optioned.",When asked Andrew Stevenson earlier Dave Martinez said wants keep getting four ABs game Rochester Interested see Nationals postAll Star break I would think solid chance Stevenson comes back Yadiel Hernandez optioned,0,1
2144,Hinch said Boyd is ‘penciled in’ to start at Comerica Park Sunday. Haase expected back Friday.,Hinch said Boyd penciled start Comerica Park Sunday Haase expected back Friday,0,1
2145,199 cases of #COVID19 in Dallas ISD.  https://t.co/VwktSd2AVN,cases COVID Dallas ISD httpstcoVwktSdAVN,0,1
2228,‘The Witcher’s’ Emma Appleton and ‘The Morning Show’s’ Bel Powley Set for Dolly Alderton’s ‘Everything I Know About Love’ Adaptation  https://t.co/dQrrdlXYHY,The Witcher Emma Appleton The Morning Show Bel Powley Set Dolly Alderton Everything I Know About Love Adaptation httpstcodQrrdlXYHY,0,1
2237,A Black Man is Guilty until proven Innocent....just beat my case against Chicago Police this morning!! Now I can tell yall all about it while my next lawyer gets the bag for me against CPD...Me vs. The City of Chicago coming soon  https://t.co/C6DTjAhImn,A Black Man Guilty proven Innocentjust beat case Chicago Police morning Now I tell yall next lawyer gets bag CPDMe vs The City Chicago coming soon httpstcoCDTjAhImn,0,1
2246,"Seven Capitol Police officers sue Trump, right-wing groups over injuries from Jan. 6 riot  https://t.co/k9VIe3zTZw",Seven Capitol Police officers sue Trump rightwing groups injuries Jan riot httpstcokVIezTZw,0,1
